Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
HD111564,0.08135780172877416,0.003655289569808015,0.3883224580629722,0.034959997064492807,0.4573123659945254,0.030900640133077726,0.003491447446349639,0.0
HD111777
HD112100,0.08178583406515028,0.002954601542438292,0.4080425630174723,0.029648134553122454,0.4428502937716738,0.031211979782002637,0.00350659326814024,0.0
HD11226,0.07863000251847244,0.0037843733329490556,0.37275645714582606,0.0354863020649385,0.4742091742263427,0.031692332135697464,0.0034413585757738607,0.0
HD112283,0.07626237775354104,0.0033637978892332226,0.348476622451627,0.0263896896962015,0.49911107236415114,0.04094576648453932,0.0054506733607067055,0.0
HD112540,0.07812189599280418,0.0032575419815302933,0.36347376272723125,0.03398728838970745,0.4813054855673105,0.035864752778206575,0.003989272563209842,0.0
HD113101
HD113513
HD113569,0.08324940049401137,0.0032468119240781543,0.4044634699851465,0.031003485709943726,0.43952350619944064,0.03491083322313995,0.0036024924642395657,0.0
HD113679
HD11397
HD114076
HD114386,0.08319750156455483,0.0032117295820868665,0.4080141493676198,0.035030162106719276,0.4327806836269896,0.03404747533517752,0.0037182984168519125,0.0
HD114561,0.07989283148988145,0.0033879668686696567,0.37343682982566584,0.034790327122937365,0.47165206274483346,0.032934359023562995,0.003905622924449251,0.0
HD114613,0.07840700621468472,0.0040848580452564395,0.37598687210184145,0.033565028280772596,0.47512477612918697,0.029426869471654404,0.003404589756603416,0.0
HD114729
HD114747
HD114783
HD114853,0.08221074259186105,0.0026529324405756846,0.40221102483805066,0.03286236313168752,0.4434472143354148,0.03316624436155066,0.003449478300859814,0.0
HD11505
HD115341,0.07907775428781329,0.003750351192546948,0.3648667914411761,0.03474598199729902,0.4761729341168389,0.03742618369916928,0.003960003265156537,0.0
HD115499,0.07941977532833029,0.002886267193290708,0.3762148350152421,0.028537735904327153,0.46972872832947704,0.03965164983610289,0.0035610083932297,0.0
HD115585,0.07949669400713356,0.005372519048287679,0.3880991115310331,0.03419414040022009,0.464245818070808,0.025136251958288974,0.003455464984228601,0.0
HD115617,0.08186119371705954,0.0028932669274960854,0.3986419086313276,0.0330270934245945,0.4462701192194593,0.033927006642074285,0.003379411437988707,0.0
HD115674,0.08066133928266653,0.003209663110975171,0.3793613922827757,0.03210119810294766,0.46625218702038473,0.034738727977265536,0.003675492222984771,0.0
HD115773,0.07870180239274974,0.0032868889703856394,0.3687613531206024,0.03530434224403405,0.47518777605587526,0.03480309933977823,0.003954737876574637,0.0
HD115902,0.0829547104903718,0.0033072549700983354,0.40262247542823953,0.0332590671950346,0.4437842427296123,0.030675581538302257,0.0033966676483410787,0.0
HD11608,0.07087220355551975,0.003888583045456335,0.3277131675473969,0.04396303057334408,0.5211115468329415,0.028741084415720895,0.0037103840296204504,0.0
HD116259
HD116284,0.07811605624208547,0.002960801947971631,0.36824278867724775,0.03356243290658401,0.4805951788341102,0.03279715230034708,0.0037255890916539887,0.0
HD116410,0.07712400013919724,0.004402089575333484,0.36112717949466816,0.03550793827806554,0.48667994727776887,0.031712097453620414,0.0034467477813461466,0.0
HD11683,0.08806698944105172,0.0018866455540622225,0.4312603312721697,0.03199028547220585,0.40806638420798896,0.035118472020453144,0.003610892032068412,0.0
HD116858,0.07782326705929844,0.0028197395275932416,0.36704071222574186,0.030476588725870418,0.4837403897006248,0.03454740242058783,0.0035519003402834674,0.0
HD116883,0.0798101898737704,0.0021251468094278495,0.3896679061650339,0.0251498800482287,0.46593928189565664,0.034148327344453396,0.0031592678634291254,0.0
HD116920,0.08133505824553132,0.0030260654740918327,0.3842275763350712,0.0331109618420549,0.4583461889187958,0.03642501253882613,0.0035291366456289717,0.0
