star,initial_mass
HD93385,100.117930
HD186061,100.112388
HD28821,100.121343
HD221974,100.106770
HD224047,100.119300
HD16280,100.124704
HD193844,100.124927
HD73256,100.115130
HD132569,100.122933
HD309701,100.128744
HD66838,100.127756
HD193193,100.118905
HD198075,100.125996
HD157172,100.116511
HD105938,100.115355
HD162236,100.114086
HD215906,100.114007
HD157347,100.120128
HD139710,100.117127
HD145377,100.117790
HD13578,100.118409
HD92719,100.122273
HD28471,100.120147
HD18719,100.115608
HD8859,100.120344
HD18083,100.120949
HD125271,100.129604
HD145927,100.121375
HD191033,100.126005
BD-094191,100.124319
HD89147,100.124182
HD138914,100.119516
HD21251,100.105766
HD97998,100.122643
BD-082823,100.111760
HD117938,100.120183
HD3569,100.115788
BD-130116,100.127558
HD30669,100.122242
HD115902,100.123708
HD84627B,100.122314
HD126681,100.132951
HD208704,100.120834
HD44219,100.122294
HD82516,100.113953
HD105671,100.119766
HD168863,100.111488
HD214867,100.118529
HD85119,100.119511
HD150437,100.117946
HD136894,100.122614
HD144846,100.122714
HD16536,100.125036
HD93351,100.119814
Sun,100.120165
HD120491,101.515052
HIP32812,100.105460
HD8038,100.118353
HD20619,100.123378
HD18386,100.110035
HD216008,100.119807
HIP39470,100.128001
HD101339,100.119380
HD18001,100.122078
HD70889,100.121846
HD197921,100.121291
HD151504,100.120456
HD15612,100.118530
HD222335,100.122848
HD224393,100.124317
HD196397,100.115853
HD201496,100.120306
HD222582,100.119896
HD203432,100.114566
HD207583,100.120723
HD210329,100.121857
HIP109149,100.114735
HD154387,100.131078
HIP38324,100.128380
HD109098,100.117818
HD205591,100.111826
HD52449,100.111900
HIP17346,100.124959
HD195200,100.116240
HD191285,100.131835
HD134664,100.120310
HD38382,100.122630
HD20782,100.122459
HD192117,100.123943
HD221638,100.111909
HD40503,100.125957
HD78964B,100.121054
HD177409,100.121682
HD98356,100.118092
BD-160931,100.098781
HD25587,100.106860
HD221343,100.120892
HD154363,110.734463
HD41087,100.123804
HD48115,100.122286
HD144589,100.102684
HD52265,100.115383
HD134702,100.117093
